year,player_id,player_name,team_id,team_name,position,bid_amount,round_num,pick_num
2020,14881,Russell Wilson,9,Tijuana Sanchitos,N/A,10.0,1,0
2020,15683,Justin Tucker,7,Tittsburgh Feelers,N/A,2.0,1,0
2020,15847,Travis Kelce,4,San Diego Shadowcocks,N/A,44.0,1,0
2020,3116165,Chris Godwin,1,Squaw Valley Skinners,N/A,32.0,1,0
2020,3139477,Patrick Mahomes,4,San Diego Shadowcocks,N/A,21.0,1,0
2020,2976316,Michael Thomas,9,Tijuana Sanchitos,N/A,60.0,1,0
2020,3116365,Mark Andrews,8,Westeros  Warlords,N/A,15.0,1,0
2020,4047365,Josh Jacobs,1,Squaw Valley Skinners,N/A,62.0,1,0
2020,-16002,Bills D/ST,1,Squaw Valley Skinners,N/A,2.0,1,0
2020,4035538,David Montgomery,10,Chula Vista Chupacabras,N/A,8.0,1,0
2020,-16023,Steelers D/ST,2,Fairview Fat Cats,N/A,2.0,1,0
2020,13982,Julio Jones,5,Muck City Mad Dawgs,N/A,56.0,1,0
2020,4045163,Miles Sanders,10,Chula Vista Chupacabras,N/A,52.0,2,0
2020,3055899,Harrison Butker,2,Fairview Fat Cats,N/A,2.0,2,0
2020,3117251,Christian McCaffrey,4,San Diego Shadowcocks,N/A,81.0,2,0
2020,3929630,Saquon Barkley,7,Tittsburgh Feelers,N/A,73.0,2,0
2020,2974858,Kenny Golladay,9,Tijuana Sanchitos,N/A,36.0,2,0
2020,-16025,49ers D/ST,11,Honolulu Horndogs,N/A,3.0,2,0
2020,2985659,Wil Lutz,8,Westeros  Warlords,N/A,1.0,2,0
2020,3051392,Ezekiel Elliott,3,Goleta Gringos,N/A,70.0,2,0
2020,-16007,Broncos D/ST,6,DC Mighty Cucks,N/A,1.0,2,0
2020,15825,Le'Veon Bell,5,Muck City Mad Dawgs,N/A,16.0,2,0
2020,3128720,Nick Chubb,9,Tijuana Sanchitos,N/A,49.0,2,0
2020,15795,DeAndre Hopkins,10,Chula Vista Chupacabras,N/A,45.0,2,0
2020,3116593,Dalvin Cook,12,Winston-Salem Wake Snakes,N/A,56.0,3,0
2020,11122,Matt Prater,3,Goleta Gringos,N/A,1.0,3,0
