Year,Player,Team,Position,Bid_Amount
2020,Russell Wilson,Tijuana Sanchitos,N/A,10
2020,Justin Tucker,Tittsburgh Feelers,N/A,2
2020,Travis Kelce,San Diego Shadowcocks,N/A,44
2020,Chris Godwin,Squaw Valley Skinners,N/A,32
2020,Patrick Mahomes,San Diego Shadowcocks,N/A,21
2020,Michael Thomas,Tijuana Sanchitos,N/A,60
2020,Mark Andrews,Westeros  Warlords,N/A,15
2020,Josh Jacobs,Squaw Valley Skinners,N/A,62
2020,Bills D/ST,Squaw Valley Skinners,N/A,2
2020,David Montgomery,Chula Vista Chupacabras,N/A,8
2020,Steelers D/ST,Fairview Fat Cats,N/A,2
2020,Julio Jones,Muck City Mad Dawgs,N/A,56
2020,Miles Sanders,Chula Vista Chupacabras,N/A,52
2020,Harrison Butker,Fairview Fat Cats,N/A,2
2020,Christian McCaffrey,San Diego Shadowcocks,N/A,81
2020,Saquon Barkley,Tittsburgh Feelers,N/A,73
2020,Kenny Golladay,Tijuana Sanchitos,N/A,36
2020,49ers D/ST,Honolulu Horndogs,N/A,3
2020,Wil Lutz,Westeros  Warlords,N/A,1
2020,Ezekiel Elliott,Goleta Gringos,N/A,70
2020,Broncos D/ST,DC Mighty Cucks,N/A,1
2020,Le'Veon Bell,Muck City Mad Dawgs,N/A,16
2020,Nick Chubb,Tijuana Sanchitos,N/A,49
2020,DeAndre Hopkins,Chula Vista Chupacabras,N/A,45
2020,Dalvin Cook,Winston-Salem Wake Snakes,N/A,56
2020,Matt Prater,Goleta Gringos,N/A,1
2020,Tyreek Hill,Winston-Salem Wake Snakes,N/A,42
2020,Tom Brady,San Diego Shadowcocks,N/A,1
2020,Clyde Edwards-Helaire,Fairview Fat Cats,N/A,57
2020,Greg Zuerlein,Honolulu Horndogs,N/A,1
2020,Lamar Jackson,Tittsburgh Feelers,N/A,31
2020,Davante Adams,Muck City Mad Dawgs,N/A,56
2020,Amari Cooper,Honolulu Horndogs,N/A,23
2020,Devin Singletary,Muck City Mad Dawgs,N/A,9
2020,Alvin Kamara,DC Mighty Cucks,N/A,60
2020,Deshaun Watson,Westeros  Warlords,N/A,11
2020,Mike Evans,Goleta Gringos,N/A,32
2020,Derrick Henry,Westeros  Warlords,N/A,65
2020,Rob Gronkowski,Tijuana Sanchitos,N/A,6
2020,Kareem Hunt,Westeros  Warlords,N/A,10
2020,Darren Waller,Tittsburgh Feelers,N/A,9
2020,George Kittle,DC Mighty Cucks,N/A,29
2020,Ravens D/ST,Tittsburgh Feelers,N/A,2
2020,Adam Thielen,Chula Vista Chupacabras,N/A,28
2020,Zane Gonzalez,DC Mighty Cucks,N/A,1
2020,Odell Beckham Jr.,San Diego Shadowcocks,N/A,22
2020,Austin Ekeler,Fairview Fat Cats,N/A,49
2020,Joe Mixon,DC Mighty Cucks,N/A,62
2020,Kenyan Drake,Fairview Fat Cats,N/A,47
2020,Aaron Jones,Honolulu Horndogs,N/A,50
2020,A.J. Green,Tijuana Sanchitos,N/A,10
2020,Chris Carson,DC Mighty Cucks,N/A,35
2020,Tyler Lockett,Squaw Valley Skinners,N/A,17
2020,David Johnson,Chula Vista Chupacabras,N/A,26
2020,Zack Moss,Westeros  Warlords,N/A,5
2020,Leonard Fournette,Goleta Gringos,N/A,14
2020,Courtland Sutton,Squaw Valley Skinners,N/A,15
2020,Stefon Diggs,Chula Vista Chupacabras,N/A,11
2020,Noah Fant,Fairview Fat Cats,N/A,2
2020,DJ Moore,Squaw Valley Skinners,N/A,24
2020,Todd Gurley II,Tittsburgh Feelers,N/A,26
2020,Zach Ertz,Honolulu Horndogs,N/A,30
2020,Jordan Howard,San Diego Shadowcocks,N/A,7
2020,Melvin Gordon III,Westeros  Warlords,N/A,23
2020,DeVante Parker,Winston-Salem Wake Snakes,N/A,10
2020,James Conner,Honolulu Horndogs,N/A,36
2020,Jonathan Taylor,Squaw Valley Skinners,N/A,39
2020,Keenan Allen,Winston-Salem Wake Snakes,N/A,16
2020,Duke Johnson,Chula Vista Chupacabras,N/A,3
2020,Marlon Mack,Tijuana Sanchitos,N/A,3
2020,Jerry Jeudy,Honolulu Horndogs,N/A,3
2020,Kyler Murray,Chula Vista Chupacabras,N/A,18
2020,Joe Burrow,Tijuana Sanchitos,N/A,2
2020,JuJu Smith-Schuster,Goleta Gringos,N/A,30
2020,Allen Robinson II,Honolulu Horndogs,N/A,19
2020,Evan Engram,Goleta Gringos,N/A,4
2020,Terry McLaurin,Winston-Salem Wake Snakes,N/A,14
2020,DK Metcalf,San Diego Shadowcocks,N/A,16
2020,Calvin Ridley,Westeros  Warlords,N/A,19
2020,Antonio Gibson,Fairview Fat Cats,N/A,9
2020,Chase Edmonds,Fairview Fat Cats,N/A,4
2020,Latavius Murray,Winston-Salem Wake Snakes,N/A,3
2020,Josh Allen,Fairview Fat Cats,N/A,4
2020,Ryan Succop,Winston-Salem Wake Snakes,N/A,2
2020,Matt Ryan,Muck City Mad Dawgs,N/A,2
2020,Daniel Jones,Goleta Gringos,N/A,1
2020,T.Y. Hilton,Muck City Mad Dawgs,N/A,15
2020,Cam Akers,Winston-Salem Wake Snakes,N/A,23
2020,Robert Woods,Tittsburgh Feelers,N/A,18
2020,Sony Michel,Honolulu Horndogs,N/A,3
2020,Dak Prescott,Fairview Fat Cats,N/A,5
2020,Hayden Hurst,Winston-Salem Wake Snakes,N/A,3
2020,Damien Harris,Winston-Salem Wake Snakes,N/A,3
2020,Robbie Gould,Squaw Valley Skinners,N/A,1
2020,Marquise Brown,Fairview Fat Cats,N/A,8
2020,Jake Elliott,Chula Vista Chupacabras,N/A,1
2020,Kerryon Johnson,Muck City Mad Dawgs,N/A,3
2020,J.K. Dobbins,Goleta Gringos,N/A,7
2020,A.J. Brown,Tittsburgh Feelers,N/A,16
2020,DJ Chark Jr.,Tittsburgh Feelers,N/A,7
2020,Jarvis Landry,Fairview Fat Cats,N/A,2
2020,Carson Wentz,Chula Vista Chupacabras,N/A,2
2020,Alexander Mattison,Winston-Salem Wake Snakes,N/A,4
2020,Cooper Kupp,Westeros  Warlords,N/A,28
2020,Tarik Cohen,DC Mighty Cucks,N/A,1
2020,Raheem Mostert,Honolulu Horndogs,N/A,19
2020,Emmanuel Sanders,Goleta Gringos,N/A,5
2020,Tyler Higbee,Muck City Mad Dawgs,N/A,3
2020,Phillip Lindsay,Goleta Gringos,N/A,8
2020,Will Fuller V,Goleta Gringos,N/A,5
2020,Tyler Boyd,Westeros  Warlords,N/A,7
2020,Brandin Cooks,Honolulu Horndogs,N/A,6
2020,Michael Gallup,Westeros  Warlords,N/A,8
2020,Chris Thompson,Fairview Fat Cats,N/A,2
2020,Drew Brees,Goleta Gringos,N/A,2
2020,Tevin Coleman,Chula Vista Chupacabras,N/A,2
2020,Benny Snell Jr.,Tittsburgh Feelers,N/A,2
2020,Cam Newton,Muck City Mad Dawgs,N/A,4
2020,CeeDee Lamb,Winston-Salem Wake Snakes,N/A,3
2020,Henry Ruggs III,Winston-Salem Wake Snakes,N/A,3
2020,Adrian Peterson,Tittsburgh Feelers,N/A,1
2020,Mark Ingram II,Muck City Mad Dawgs,N/A,20
2020,Matt Breida,Tijuana Sanchitos,N/A,6
2020,Boston Scott,San Diego Shadowcocks,N/A,1
2020,Preston Williams,Tijuana Sanchitos,N/A,2
2020,Aaron Rodgers,Honolulu Horndogs,N/A,1
