Player,Team,Position,Bid_Amount
Harrison Butker,Pasco Pounders,N/A,1
Dameon Pierce,San Diego Shadowcöcks,N/A,18
Najee Harris,Westeros  Warlords,N/A,28
Kenneth Walker III,Westeros  Warlords,N/A,34
Tyreek Hill,San Diego Shadowcöcks,N/A,62
Justin Jefferson,Goleta Gringos,N/A,74
Ja'Marr Chase,San Diego Shadowcöcks,N/A,67
Justin Tucker,Honolulu Horndogs,N/A,2
Javonte Williams,Westeros  Warlords,N/A,17
Jonathan Taylor,Tijuana Sanchitos,N/A,15
Derrick Henry,Tittsburgh Feelers,N/A,61
Daniel Carlson,Fairview Fat Cats,N/A,2
Travis Kelce,Squaw Valley Skinners,N/A,67
Christian McCaffrey,Tijuana Sanchitos,N/A,66
Joe Mixon,Honolulu Horndogs,N/A,24
Evan McPherson,San Diego Shadowcöcks,N/A,2
Nick Chubb,Pasco Pounders,N/A,65
Austin Ekeler,Fairview Fat Cats,N/A,63
Garrett Wilson,Poulsbo Polliwogs,N/A,50
49ers D/ST,San Diego Shadowcöcks,N/A,2
Cooper Kupp,Squaw Valley Skinners,N/A,46
Davante Adams,Honolulu Horndogs,N/A,54
Tony Pollard,DC Mighty Cucks,N/A,59
Steelers D/ST,Fairview Fat Cats,N/A,2
Mark Andrews,DC Mighty Cucks,N/A,24
Bijan Robinson,DC Mighty Cucks,N/A,59
Breece Hall,Westeros  Warlords,N/A,29
Stefon Diggs,Tijuana Sanchitos,N/A,53
Christian Watson,Pasco Pounders,N/A,15
Zach Charbonnet,Pasco Pounders,N/A,3
Amon-Ra St. Brown,Honolulu Horndogs,N/A,43
Josh Jacobs,Goleta Gringos,N/A,56
Travis Etienne Jr.,Pasco Pounders,N/A,34
Aaron Jones,Tittsburgh Feelers,N/A,31
Jalen Hurts,DC Mighty Cucks,N/A,27
Saquon Barkley,Poulsbo Polliwogs,N/A,62
Calvin Ridley,Chula Vista Chupacabras,N/A,32
CeeDee Lamb,Westeros  Warlords,N/A,46
Alexander Mattison,Chula Vista Chupacabras,N/A,18
A.J. Brown,San Diego Shadowcöcks,N/A,37
Commanders D/ST,Tittsburgh Feelers,N/A,1
Patrick Mahomes,Pasco Pounders,N/A,30
James Conner,Honolulu Horndogs,N/A,17
Josh Allen,Tittsburgh Feelers,N/A,27
Lamar Jackson,Fairview Fat Cats,N/A,25
Rachaad White,Chula Vista Chupacabras,N/A,19
DeVonta Smith,Tijuana Sanchitos,N/A,25
Tee Higgins,Westeros  Warlords,N/A,22
Jahmyr Gibbs,Chula Vista Chupacabras,N/A,40
Deebo Samuel,Poulsbo Polliwogs,N/A,17
Keenan Allen,Poulsbo Polliwogs,N/A,20
DK Metcalf,Chula Vista Chupacabras,N/A,31
Joe Burrow,Tijuana Sanchitos,N/A,13
Tua Tagovailoa,Squaw Valley Skinners,N/A,2
Justin Fields,Chula Vista Chupacabras,N/A,19
Chris Olave,Fairview Fat Cats,N/A,34
Saints D/ST,Honolulu Horndogs,N/A,2
Cowboys D/ST,Squaw Valley Skinners,N/A,2
Jaylen Waddle,Squaw Valley Skinners,N/A,37
Darren Waller,Poulsbo Polliwogs,N/A,20
Alvin Kamara,Pasco Pounders,N/A,14
Rhamondre Stevenson,Goleta Gringos,N/A,34
Mike Williams,Goleta Gringos,N/A,14
T.J. Hockenson,Chula Vista Chupacabras,N/A,24
Amari Cooper,Pasco Pounders,N/A,20
Dalvin Cook,Tijuana Sanchitos,N/A,12
James Cook,Tittsburgh Feelers,N/A,22
DJ Moore,Fairview Fat Cats,N/A,9
Patriots D/ST,Goleta Gringos,N/A,1
Ravens D/ST,Chula Vista Chupacabras,N/A,1
AJ Dillon,Chula Vista Chupacabras,N/A,5
Jerry Jeudy,Honolulu Horndogs,N/A,8
Jets D/ST,Westeros  Warlords,N/A,2
Cam Akers,Squaw Valley Skinners,N/A,13
George Kittle,Tittsburgh Feelers,N/A,13
Jason Myers,Westeros  Warlords,N/A,1
Justin Herbert,Westeros  Warlords,N/A,11
Christian Kirk,Tittsburgh Feelers,N/A,6
Kyle Pitts,Fairview Fat Cats,N/A,11
Diontae Johnson,Fairview Fat Cats,N/A,5
Deshaun Watson,Honolulu Horndogs,N/A,12
Miles Sanders,Squaw Valley Skinners,N/A,23
Odell Beckham Jr.,Poulsbo Polliwogs,N/A,3
Isiah Pacheco,Fairview Fat Cats,N/A,12
Bills D/ST,Pasco Pounders,N/A,1
Khalil Herbert,Poulsbo Polliwogs,N/A,12
Tyler Bass,Tittsburgh Feelers,N/A,2
Graham Gano,Chula Vista Chupacabras,N/A,2
Mike Evans,Fairview Fat Cats,N/A,6
Terry McLaurin,Chula Vista Chupacabras,N/A,5
J.K. Dobbins,Honolulu Horndogs,N/A,15
Jahan Dotson,DC Mighty Cucks,N/A,4
Jaxon Smith-Njigba,Fairview Fat Cats,N/A,5
Jaylen Warren,Fairview Fat Cats,N/A,3
Dallas Goedert,Honolulu Horndogs,N/A,8
Samaje Perine,Fairview Fat Cats,N/A,3
Chris Godwin,Tijuana Sanchitos,N/A,6
Anthony Richardson,San Diego Shadowcöcks,N/A,3
Raheem Mostert,Goleta Gringos,N/A,5
D'Andre Swift,Fairview Fat Cats,N/A,6
DeAndre Hopkins,Tittsburgh Feelers,N/A,5
Marquise Brown,Tittsburgh Feelers,N/A,2
Brian Robinson Jr.,Honolulu Horndogs,N/A,3
Drake London,DC Mighty Cucks,N/A,9
Trevor Lawrence,Poulsbo Polliwogs,N/A,8
Courtland Sutton,Squaw Valley Skinners,N/A,2
Gabe Davis,Goleta Gringos,N/A,7
David Montgomery,Tittsburgh Feelers,N/A,15
Pat Freiermuth,Tittsburgh Feelers,N/A,4
Brandon Aiyuk,Tijuana Sanchitos,N/A,3
Jake Elliott,Squaw Valley Skinners,N/A,1
George Pickens,Pasco Pounders,N/A,2
