year,week,home_team_id,home_team_score,away_team_id,away_team_score,winner_team_id
2020,1,10,122.6,8,114.22,
2020,1,7,95.6,11,77.6,
2020,1,1,107.92,3,91.0,
2020,1,2,108.94,6,62.1,
2020,1,12,87.36,4,112.74,
2020,1,9,67.98,5,91.8,
2020,2,8,107.8,11,129.1,
2020,2,3,82.08,10,108.14,
2020,2,1,109.6,7,109.66,
2020,2,6,104.86,4,119.78,
2020,2,5,86.02,2,113.2,
2020,2,9,101.52,12,92.64,
2020,3,3,106.94,8,128.86,
2020,3,11,118.62,1,96.98,
2020,3,10,98.9,7,87.88,
2020,3,5,55.58,6,103.7,
2020,3,4,95.6,9,131.3,
2020,3,2,89.18,12,125.18,
2020,4,8,116.6,1,75.44,
2020,4,7,98.52,3,98.92,
2020,4,10,126.62,11,112.78,
2020,4,6,139.54,9,71.2,
2020,4,12,126.9,5,65.3,
2020,4,2,79.66,4,79.44,
2020,5,7,113.2,8,119.26,
2020,5,1,104.54,10,126.6,
2020,5,3,108.52,11,87.38,
2020,5,12,92.56,6,103.42,
2020,5,9,65.18,2,83.74,
2020,5,5,59.04,4,116.9,
2020,6,8,112.7,6,66.32,
2020,6,10,104.62,2,117.84,
2020,6,11,92.34,4,81.8,
2020,6,3,87.68,5,93.78,
2020,6,1,80.02,9,107.72,
2020,6,7,109.9,12,65.74,
2020,7,6,138.8,10,114.7,
2020,7,2,87.02,11,79.92,
2020,7,4,38.4,3,60.78,
2020,7,5,97.4,1,104.16,
2020,7,9,102.62,7,132.32,
2020,7,12,81.22,8,130.96,
2020,8,11,84.52,6,76.84,
2020,8,3,64.76,2,81.64,
2020,8,1,58.36,4,100.44,
2020,8,7,95.34,5,70.62,
2020,8,8,89.72,9,69.02,
2020,8,10,60.56,12,158.94,
2020,9,6,52.94,3,81.4,
2020,9,2,79.3,1,47.86,
2020,9,4,114.28,7,110.5,
2020,9,5,64.36,8,97.04,
2020,9,9,74.04,10,81.32,
2020,9,12,148.24,11,91.3,
2020,10,1,79.24,6,103.24,
